INFO:     | 2023-10-31 13:30:38 | app | cache face to recognize-> app/.data/ps1.jpeg.jpg
INFO:     | 2023-10-31 13:30:38 | app | recognizing img app/.data/ps1.jpeg.jpg
INFO:     | 2023-10-31 13:30:51 | server | retina_res:{'face_1': {'score': 0.9995232820510864, 'facial_area': [230, 394, 385, 565], 'landmarks': {'right_eye': [270.14917, 445.94476], 'left_eye': [339.92517, 474.48798], 'nose': [286.45084, 505.1889], 'mouth_right': [254.90025, 510.4035], 'mouth_left': [311.7688, 532.9266]}}, 'face_2': {'score': 0.9994284510612488, 'facial_area': [440, 413, 634, 594], 'landmarks': {'right_eye': [518.97107, 462.62665], 'left_eye': [576.3318, 516.9169], 'nose': [515.3398, 521.6613], 'mouth_right': [467.05988, 526.6091], 'mouth_left': [507.9332, 570.9275]}}, 'face_3': {'score': 0.9993916749954224, 'facial_area': [718, 360, 937, 616], 'landmarks': {'right_eye': [799.05023, 440.3792], 'left_eye': [893.42737, 473.58374], 'nose': [838.30273, 493.8084], 'mouth_right': [777.44934, 535.3888], 'mouth_left': [852.4406, 562.7965]}}, 'face_4': {'score': 0.9990382194519043, 'facial_area': [1022, 247, 1278, 582], 'landmarks': {'right_eye': [1103.6362, 363.78784], 'left_eye': [1250.7965, 365.43787], 'nose': [1177.2928, 452.41464], 'mouth_right': [1114.086, 500.5842], 'mouth_left': [1231.278, 501.89468]}}}
INFO:     | 2023-10-31 13:30:51 | server | filtered retina face:[{'score': 0.9995232820510864, 'facial_area': [230, 394, 385, 565], 'landmarks': {'right_eye': [270.14917, 445.94476], 'left_eye': [339.92517, 474.48798], 'nose': [286.45084, 505.1889], 'mouth_right': [254.90025, 510.4035], 'mouth_left': [311.7688, 532.9266]}}, {'score': 0.9994284510612488, 'facial_area': [440, 413, 634, 594], 'landmarks': {'right_eye': [518.97107, 462.62665], 'left_eye': [576.3318, 516.9169], 'nose': [515.3398, 521.6613], 'mouth_right': [467.05988, 526.6091], 'mouth_left': [507.9332, 570.9275]}}, {'score': 0.9993916749954224, 'facial_area': [718, 360, 937, 616], 'landmarks': {'right_eye': [799.05023, 440.3792], 'left_eye': [893.42737, 473.58374], 'nose': [838.30273, 493.8084], 'mouth_right': [777.44934, 535.3888], 'mouth_left': [852.4406, 562.7965]}}, {'score': 0.9990382194519043, 'facial_area': [1022, 247, 1278, 582], 'landmarks': {'right_eye': [1103.6362, 363.78784], 'left_eye': [1250.7965, 365.43787], 'nose': [1177.2928, 452.41464], 'mouth_right': [1114.086, 500.5842], 'mouth_left': [1231.278, 501.89468]}}]
INFO:     | 2023-10-31 13:30:51 | server | face boxes:[{'x': 1022, 'y': 247, 'w': 256, 'h': 335}, {'x': 718, 'y': 360, 'w': 219, 'h': 256}, {'x': 440, 'y': 413, 'w': 194, 'h': 181}, {'x': 230, 'y': 394, 'w': 155, 'h': 171}]
INFO:     | 2023-10-31 13:30:51 | server | cal face angle: 0.6423980487697054
INFO:     | 2023-10-31 13:30:51 | server | cal face angle: 19.38330461966004
INFO:     | 2023-10-31 13:30:51 | server | cal face angle: 43.42471532206622
INFO:     | 2023-10-31 13:30:51 | server | cal face angle: 22.247958635245393
INFO:     | 2023-10-31 13:30:51 | service | img distance with person: c3470128-ba5b-4ee2-b98d-0e7c7cae2074 is 0.19210347533226013
INFO:     | 2023-10-31 13:30:51 | service | no similar faces were found in the database
INFO:     | 2023-10-31 13:30:52 | service | img distance with person: c3470128-ba5b-4ee2-b98d-0e7c7cae2074 is 0.06455722451210022
INFO:     | 2023-10-31 13:30:52 | service | detected face matches id: c3470128-ba5b-4ee2-b98d-0e7c7cae2074
INFO:     | 2023-10-31 13:30:52 | mysql_api | SELECT avatar_url FROM person WHERE user_id = %s and is_default = 1
INFO:     | 2023-10-31 13:30:52 | mysql_api | Person avatar with person_id: c3470128-ba5b-4ee2-b98d-0e7c7cae2074 retrieved from mysql db.
INFO:     | 2023-10-31 13:30:52 | service | img distance with person: c3470128-ba5b-4ee2-b98d-0e7c7cae2074 is 0.23528723418712616
INFO:     | 2023-10-31 13:30:52 | service | no similar faces were found in the database
INFO:     | 2023-10-31 13:30:52 | service | img distance with person: faa543b8-4ce1-4f66-b192-da14659daf25 is 0.15190842747688293
INFO:     | 2023-10-31 13:30:52 | service | no similar faces were found in the database
INFO:     | 2023-10-31 13:30:52 | app | recognizing faces fininshed!
INFO:     | 2023-10-31 13:35:23 | milvus_api | Collection faces_v2 present already.
INFO:     | 2023-10-31 13:35:43 | milvus_api | Collection faces_v2 present already.
INFO:     | 2023-10-31 13:35:56 | app | cache face to recognize-> app/.data/ps1.jpeg.jpg
INFO:     | 2023-10-31 13:35:56 | app | recognizing img app/.data/ps1.jpeg.jpg
